Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,23480,10901,8,,No,18,3,3,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,89980,15589,1,,No,14,3,4,0,9,2,3,9,8,3,7
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,4,Male,41,3,2,Manufacturing Director,3,Married,43190,26283,1,,No,13,3,1,1,10,1,3,10,7,0,9
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,61320,13983,2,,No,17,3,3,0,10,2,3,1,0,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,33460,11873,4,,Yes,20,4,2,1,9,3,2,1,0,0,0
40,No,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,108550,8552,7,,No,11,3,1,1,15,2,2,12,11,2,11
34,No,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,75,3,1,Sales Representative,3,Married,22310,11314,6,,No,18,3,4,1,6,3,3,4,3,1,2
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,23230,11992,1,,No,24,4,1,2,2,6,3,2,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,20240,5970,6,,No,18,3,4,1,6,1,1,2,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,3,Male,42,3,1,Research Scientist,4,Married,27130,6672,1,,No,11,3,3,1,5,2,1,5,2,0,2
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,3,Male,83,4,3,Healthcare Representative,4,Divorced,94390,23402,3,,Yes,16,3,2,1,12,2,1,5,3,1,4
27,No,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,25660,25326,1,,Yes,15,3,4,1,1,2,2,1,1,0,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,199260,17053,3,,No,15,3,2,0,21,5,3,5,4,4,4
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,Male,56,3,1,Research Scientist,3,Divorced,24510,4609,4,,No,12,3,1,1,13,2,3,9,8,1,8
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,94190,8053,2,,No,12,3,3,1,12,2,3,10,9,7,4
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,86860,12930,4,,No,22,4,3,0,12,2,4,8,3,0,7
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,Male,43,3,1,Research Scientist,3,Single,30380,12430,3,,No,20,4,1,0,8,2,3,5,4,1,4
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,3,Male,51,3,1,Research Scientist,2,Married,30580,13364,0,,Yes,16,3,4,1,6,3,2,5,2,1,1
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,23250,20989,0,,No,21,4,1,0,1,5,4,0,0,0,0
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,20880,15062,4,,No,12,3,3,0,13,3,2,8,7,7,2
30,No,Non-Travel,111,Research & Development,9,3,Medical,3,Male,66,3,2,Laboratory Technician,1,Divorced,30720,11012,1,,No,11,3,3,2,12,4,3,12,9,6,10
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,3,Female,30,3,2,Sales Executive,1,Divorced,50060,6319,4,,Yes,11,3,1,1,9,3,4,5,4,0,3
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,3,Female,67,3,1,Research Scientist,1,Divorced,42570,13939,4,,Yes,18,3,3,1,19,3,3,2,2,2,2
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,25000,10515,0,,No,14,3,1,0,4,2,4,3,1,0,2
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,11020,9241,1,,No,22,4,3,0,1,3,2,1,0,1,0
46,No,Travel_Rarely,526,Sales,1,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,104530,2137,1,,No,25,4,3,3,24,2,3,24,13,15,7
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,22880,6319,1,,No,12,3,3,0,2,3,3,2,2,2,1
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,3,Female,95,3,1,Research Scientist,4,Married,39290,6984,8,,Yes,23,4,3,1,7,0,3,4,2,0,2
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,4,Female,95,3,1,Research Scientist,2,Single,23110,5711,2,,No,15,3,4,0,9,3,3,3,2,1,2
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,31400,21728,1,,Yes,22,4,4,0,4,5,2,4,3,0,2
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,3,Male,86,2,1,Laboratory Technician,3,Married,36900,3425,2,,No,15,3,4,1,5,2,2,3,2,0,2
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,4,Female,57,4,2,Manufacturing Director,1,Divorced,44500,26250,1,,No,11,3,3,2,5,3,3,4,2,1,3
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,4,Female,72,3,1,Research Scientist,2,Married,27560,4673,1,,No,13,3,4,1,8,5,3,8,7,1,6
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,4,Female,46,3,5,Manager,3,Married,190330,6499,1,,No,14,3,2,1,21,2,3,20,8,9,9
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,3,Male,61,4,5,Research Director,2,Single,187220,13339,8,,No,11,3,4,0,36,3,3,24,15,2,15
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,95470,14074,1,,No,17,3,3,0,10,2,2,10,9,1,9
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,4,Female,98,3,4,Healthcare Representative,2,Single,137340,7192,3,,No,18,3,3,0,21,6,3,7,7,1,0
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,3,Male,65,2,5,Manager,3,Married,199990,5678,0,,No,14,3,1,1,34,5,3,33,18,11,9
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,4,Female,99,3,1,Research Scientist,2,Single,22790,11781,1,,No,16,3,4,0,7,2,2,7,7,0,3
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,2,Male,50,2,2,Manufacturing Director,3,Married,59160,15497,3,,Yes,13,3,1,0,8,1,3,1,0,0,1
43,No,Non-Travel,1344,Research & Development,7,3,Medical,4,Male,37,4,1,Research Scientist,4,Divorced,20890,5228,4,,No,14,3,4,3,7,3,4,5,4,2,2
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,Male,65,2,4,Manager,4,Married,167920,20462,9,,No,23,4,4,1,22,1,3,20,8,11,8
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,2,Male,65,4,1,Research Scientist,1,Married,35640,22977,1,,Yes,12,3,1,1,8,3,2,8,7,1,7
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,2,Female,37,3,2,Laboratory Technician,2,Single,44250,15986,5,,No,11,3,4,0,10,5,3,6,2,1,2
42,No,Non-Travel,926,Research & Development,21,2,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,52650,16439,2,,No,16,3,2,1,11,5,3,5,3,0,2
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,4,Male,88,3,2,Manufacturing Director,3,Married,65530,7259,9,,No,14,3,2,0,14,3,3,1,0,0,0
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,4,Male,54,3,2,Manufacturing Director,4,Married,62610,4185,3,,No,18,3,1,1,9,3,1,7,7,1,7
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,3,Male,60,2,2,Manufacturing Director,1,Married,42980,9679,5,,No,19,3,3,1,6,1,3,2,2,2,0
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,Male,92,3,2,Manufacturing Director,4,Divorced,68040,23793,1,,Yes,15,3,1,2,7,0,3,7,7,1,7
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,4,Male,43,3,1,Research Scientist,3,Divorced,38150,5972,1,,Yes,17,3,4,1,5,4,4,5,3,2,0
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,3,Male,99,3,2,Laboratory Technician,4,Married,27410,16523,8,,Yes,15,3,3,1,15,2,4,7,2,3,7
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,2,Male,70,3,2,Healthcare Representative,1,Married,66730,11354,7,,Yes,19,3,2,0,17,2,3,1,0,0,0
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,2,Female,35,3,3,Sales Executive,4,Married,76390,24525,1,,No,22,4,4,3,10,3,2,10,4,1,9
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,23280,12392,1,,Yes,16,3,1,1,4,2,2,4,2,2,2
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,21530,7703,1,,No,13,3,1,0,8,2,3,8,1,1,7
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,4,Male,63,2,2,Healthcare Representative,4,Married,48760,14242,9,,No,14,3,4,1,5,5,1,3,2,0,2
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,4,Male,97,3,3,Healthcare Representative,1,Divorced,93960,12368,7,,No,16,3,3,1,17,3,3,4,2,0,3
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,4,Male,32,1,3,Sales Executive,4,Married,104000,25812,1,,No,11,3,3,0,14,2,2,14,8,9,8
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,3,Male,88,2,3,Manufacturing Director,3,Single,84740,20925,1,,No,22,4,3,0,12,2,3,11,8,5,8
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,99810,12916,1,,No,14,3,4,0,7,2,3,7,7,0,7
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,Male,81,2,3,Research Director,2,Married,124900,15736,5,,No,16,3,4,2,16,5,1,10,9,4,7
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,4,Female,88,3,1,Research Scientist,1,Single,26570,8556,5,,Yes,11,3,3,0,8,5,3,5,2,0,4
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,4,Female,75,3,3,Manager,4,Single,135910,14674,3,,Yes,18,3,3,0,16,3,3,1,0,0,0
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,3,Female,52,2,2,Sales Executive,1,Single,66960,22967,5,,No,15,3,3,0,9,5,2,6,3,0,1
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,Male,85,3,1,Research Scientist,3,Single,20580,19757,0,,No,14,3,4,0,7,1,2,6,2,1,5
45,No,Non-Travel,1052,Sales,6,3,Medical,4,Female,57,2,3,Sales Executive,4,Single,88650,16840,6,,No,12,3,4,0,23,2,3,19,7,12,8
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,4,Female,52,3,2,Sales Executive,1,Married,59400,17011,2,,No,14,3,4,1,16,4,3,6,2,0,5
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,4,Male,62,3,2,Laboratory Technician,2,Single,59140,9945,8,,No,16,3,4,0,16,3,4,13,11,3,7
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,3,Female,47,2,1,Research Scientist,2,Married,26220,13248,6,,No,21,4,4,0,7,3,3,3,2,1,1
37,No,Travel_Frequently,663,Research & Development,11,3,Other,2,Male,47,3,3,Research Director,4,Divorced,121850,10056,1,,Yes,14,3,3,3,10,1,3,10,8,0,7
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,106090,9647,0,,No,12,3,3,2,17,6,2,16,10,5,13
31,No,Non-Travel,979,Research & Development,1,4,Medical,3,Male,90,1,2,Manufacturing Director,3,Married,43450,4381,0,,No,12,3,4,1,6,2,3,5,4,1,4
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,Male,70,2,1,Research Scientist,4,Married,21770,8456,3,,No,17,3,1,1,7,6,3,1,0,0,0
37,No,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,27930,2539,4,,No,17,3,3,1,13,2,3,9,8,5,8
29,No,Travel_Frequently,1413,Sales,1,1,Medical,2,Female,42,3,3,Sales Executive,4,Married,79180,6599,1,,No,14,3,4,1,11,5,3,11,10,4,1
35,No,Travel_Frequently,944,Sales,1,3,Marketing,3,Female,92,3,3,Sales Executive,3,Single,87890,9096,1,,No,14,3,1,0,10,3,4,10,7,0,8
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,3,Male,86,2,1,Research Scientist,4,Single,23890,14961,1,,Yes,13,3,3,0,4,3,2,4,3,0,1
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Female,89,2,1,Laboratory Technician,4,Single,32120,3300,7,,No,15,3,2,0,6,3,2,2,2,2,2
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,Male,58,3,5,Manager,4,Married,192320,4933,1,,No,11,3,4,0,22,3,3,22,17,11,15
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,22670,25657,8,,No,17,3,4,0,7,2,2,2,2,2,2
50,No,Travel_Rarely,854,Sales,1,4,Medical,4,Female,68,3,5,Manager,4,Divorced,195170,24118,3,,No,11,3,3,1,32,3,2,7,0,0,6
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,3,Male,58,3,1,Laboratory Technician,4,Married,24360,22149,5,,Yes,13,3,3,1,8,2,1,5,4,0,4
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,4,Female,80,3,4,Manager,4,Married,160640,7744,5,,Yes,22,4,3,1,22,3,3,17,13,1,9
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,1,Married,27070,21509,7,,No,20,4,1,0,13,3,4,9,7,1,7
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,Male,79,2,5,Manager,3,Single,190680,21030,1,,Yes,18,3,4,0,33,2,4,33,7,15,12
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,3,Female,56,3,1,Sales Representative,2,Married,39310,20990,2,,No,11,3,1,1,6,5,3,4,3,1,2
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,Male,62,2,1,Laboratory Technician,3,Single,37300,9571,0,,Yes,14,3,4,0,4,2,1,3,2,1,2
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,96,3,1,Laboratory Technician,3,Divorced,22320,15417,7,,No,14,3,3,3,7,1,3,3,2,1,2
32,No,Non-Travel,976,Sales,26,4,Marketing,3,Male,100,3,2,Sales Executive,4,Married,44650,12069,0,,No,18,3,1,0,4,2,3,3,2,2,2
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,30720,19877,2,,No,16,3,1,2,17,2,2,1,0,0,0
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,Male,62,3,2,Research Scientist,4,Divorced,33190,24447,1,,No,17,3,1,2,9,3,3,9,8,4,7
45,No,Travel_Rarely,252,Research & Development,1,3,Other,3,Male,70,4,5,Manager,4,Married,192020,15970,0,,No,11,3,3,1,25,2,3,24,0,1,7
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,73,3,3,Research Director,3,Divorced,136750,13523,9,,No,12,3,1,1,9,3,3,2,2,2,2
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,Female,63,2,1,Research Scientist,4,Married,29110,14776,1,,No,13,3,3,1,2,2,2,2,2,0,2
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,Male,84,2,2,Manufacturing Director,1,Married,59570,23687,6,,No,13,3,2,1,13,3,3,11,9,5,9
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,39200,18697,2,,No,14,3,1,1,17,2,2,3,1,0,2
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,Male,77,4,2,Manufacturing Director,3,Married,64340,5118,4,,No,17,3,4,1,9,1,3,3,2,0,2
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,Male,61,3,3,Manufacturing Director,3,Divorced,100480,22573,6,,No,11,3,2,2,17,5,3,1,0,0,0
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,3,Female,64,3,3,Healthcare Representative,3,Single,109380,6420,0,,No,25,4,4,0,20,1,3,19,6,11,8
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,3,Male,60,3,1,Research Scientist,4,Single,23400,22673,1,,No,19,3,1,0,6,1,3,6,5,1,5
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Female,82,4,2,Research Scientist,1,Single,65450,23016,3,,Yes,13,3,3,0,10,1,3,3,2,0,2
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,4,Male,45,3,2,Sales Executive,4,Divorced,69310,10732,2,,No,14,3,4,1,10,2,3,3,2,0,2
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,Female,62,3,2,Manufacturing Director,3,Married,48980,7505,0,,No,12,3,4,2,5,3,3,4,2,1,2
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,4,Female,56,2,1,Laboratory Technician,1,Divorced,25930,8007,0,,Yes,11,3,3,1,10,4,3,9,6,7,8
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,1,Male,49,3,5,Research Director,3,Divorced,194360,5949,0,,No,19,3,4,1,22,5,3,21,7,3,9
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,3,Male,96,3,1,Research Scientist,4,Married,27230,23231,1,,No,11,3,2,0,1,0,2,1,0,0,0
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,3,Male,71,2,1,Laboratory Technician,2,Single,34790,11652,0,,No,11,3,2,0,6,2,4,5,4,1,4
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,2,Male,100,4,1,Laboratory Technician,2,Married,27940,26062,1,,No,20,4,3,0,5,3,1,5,1,0,3
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,39,2,2,Sales Executive,4,Married,52490,19682,3,,No,18,3,4,1,13,0,3,8,7,7,5
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,4,Male,84,2,2,Laboratory Technician,1,Single,21760,19737,4,,No,13,3,4,0,9,5,3,6,2,0,4
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,3,Female,75,1,4,Manager,2,Married,168720,14977,3,,Yes,12,3,2,1,28,2,2,7,7,7,7
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,Male,79,3,1,Laboratory Technician,3,Single,34850,14935,2,,No,11,3,3,0,5,5,1,0,0,0,0
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,Male,78,2,2,Sales Executive,2,Married,66440,3687,2,,No,19,3,2,2,10,2,3,0,0,0,0
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,2,Male,64,2,2,Healthcare Representative,4,Married,55820,14408,0,,No,21,4,2,1,10,2,3,9,0,7,8
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,2,Male,85,4,2,Healthcare Representative,1,Divorced,40000,18384,1,,No,12,3,4,2,6,2,3,6,3,1,5
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,3,Male,79,3,4,Healthcare Representative,4,Married,134960,7501,0,,Yes,14,3,2,0,21,2,3,20,7,4,10
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Male,47,3,1,Laboratory Technician,4,Married,32100,20251,0,,No,11,3,3,1,16,4,3,15,13,10,11
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,4,Male,81,3,5,Manager,1,Single,190450,18938,0,,Yes,14,3,3,0,37,2,3,36,10,4,13
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,1,Male,88,3,3,Manager,2,Married,118490,10268,1,,Yes,12,3,4,1,10,2,2,10,7,9,9
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,4,Male,94,3,1,Research Scientist,4,Married,20700,2613,1,,No,23,4,4,1,5,3,2,5,2,0,4
37,No,Travel_Rarely,228,Sales,6,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,65020,22825,4,,No,14,3,2,1,7,5,4,5,4,0,1
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,32300,10531,1,,No,17,3,1,0,3,4,4,3,2,1,0
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,Female,80,3,3,Research Director,4,Divorced,136030,11677,2,,Yes,18,3,1,2,15,2,3,5,2,0,2
35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,119960,19100,7,,No,18,3,2,1,10,6,2,7,7,6,2
38,No,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,56050,19191,1,,Yes,24,4,3,1,8,3,3,8,0,7,7
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,63970,26767,1,,No,20,4,1,1,6,6,1,6,5,1,4
50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,96,3,5,Research Director,2,Divorced,191440,15815,3,,No,14,3,1,2,28,4,2,10,4,1,6
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,175840,21016,3,,Yes,16,3,4,3,21,5,2,5,3,1,3
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,49070,24532,1,,No,25,4,3,0,20,3,3,20,16,11,6
29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,45540,20260,1,,No,18,3,1,0,10,3,2,10,7,0,9
55,No,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,37,3,2,Laboratory Technician,4,Married,54150,15972,3,,Yes,19,3,4,1,12,4,3,10,7,0,8
26,No,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,47410,22722,1,,Yes,13,3,3,1,5,3,3,5,3,3,3
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,42,3,1,Research Scientist,4,Single,21150,15881,1,,No,12,3,2,0,17,3,3,17,12,5,7
44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,31610,19920,3,,Yes,22,4,4,1,19,0,1,1,0,0,0
38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,57450,18899,9,,No,14,3,2,1,10,2,3,2,2,1,2
26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,23730,14180,2,,Yes,13,3,4,1,5,2,3,3,2,0,2
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,66,3,1,Research Scientist,4,Single,33100,4488,1,,No,21,4,4,0,5,3,3,5,3,0,2
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,186650,25594,9,,Yes,11,3,4,0,22,4,3,3,2,1,2
36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,44850,26285,4,,No,12,3,4,0,10,2,3,8,0,7,7
31,No,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,27890,3909,1,,No,11,3,3,1,2,5,2,2,2,2,2
26,Yes,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,58280,8450,1,,Yes,12,3,2,0,8,0,3,8,7,7,4
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,23260,11411,1,,Yes,12,3,3,3,4,3,2,4,2,1,2
42,No,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,135250,14864,5,,No,14,3,4,1,23,2,4,20,4,4,8
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,14200,25233,1,,No,13,3,3,0,0,2,3,0,0,0,0
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,80200,5100,0,,No,15,3,3,2,12,3,2,11,9,6,9
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,36880,7122,4,,No,18,3,4,2,4,2,3,1,0,0,0
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,54820,16321,5,,No,18,3,4,1,13,3,3,4,1,1,2
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,160150,15896,1,,No,19,3,2,0,22,2,3,22,10,0,4
18,No,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,12000,9724,1,,No,12,3,1,0,0,2,3,0,0,0,0
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,56610,4824,0,,No,19,3,3,0,9,2,3,8,3,0,7
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,69290,12241,4,,No,11,3,2,1,10,3,2,8,7,7,7
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,96130,10942,0,,No,17,3,1,3,19,5,2,18,10,3,7
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,56740,6927,7,,No,15,3,3,1,11,3,3,9,8,0,8
32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,54840,16985,1,,No,14,3,3,1,13,3,2,13,8,4,8
38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,120610,26707,3,,No,17,3,3,1,19,2,3,10,8,0,1
58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,56600,17056,2,,Yes,13,3,4,1,12,2,3,5,3,1,2
